SM,[HC2H3O2]-,M-CH3,FA(16:0)-H,(P-Cho)-CH3-H
SM(d26:0/24:1)+C2H3O2,985.8319,911.7904,365.3425,168.0431
SM(d26:0/25:0)+C2H3O2,1001.8632,927.8217,381.3738,168.0431
SM(d26:0/26:0)+C2H3O2,1015.8788,941.8373,395.3894,168.0431
SM(d26:0/8:0)+C2H3O2,763.5971,689.5556,143.1077,168.0431
SM(d8:0/10:0)+C2H3O2,539.3467,465.3052,171.139,168.0431
SM(d8:0/12:0)+C2H3O2,567.378,493.3365,199.1703,168.0431
SM(d8:0/13:0)+C2H3O2,581.3937,507.3522,213.186,168.0431
SM(d8:0/14:0)+C2H3O2,595.4093,521.3678,227.2016,168.0431
SM(d8:0/14:1)+C2H3O2,593.3937,519.3522,225.186,168.0431
SM(d8:0/15:0)+C2H3O2,609.425,535.3835,241.2173,168.0431
SM(d8:0/15:1)+C2H3O2,607.4093,533.3678,239.2016,168.0431
SM(d8:0/16:0)+C2H3O2,623.4406,549.3991,255.2329,168.0431
SM(d8:0/16:1)+C2H3O2,621.425,547.3835,253.2173,168.0431
SM(d8:0/17:0)+C2H3O2,637.4563,563.4148,269.2486,168.0431
SM(d8:0/17:1)+C2H3O2,635.4406,561.3991,267.2329,168.0431
SM(d8:0/17:2)+C2H3O2,633.425,559.3835,265.2173,168.0431
SM(d8:0/18:0)+C2H3O2,651.4719,577.4304,283.2642,168.0431
SM(d8:0/18:1)+C2H3O2,649.4563,575.4148,281.2486,168.0431
SM(d8:0/18:2)+C2H3O2,647.4406,573.3991,279.2329,168.0431
SM(d8:0/18:3)+C2H3O2,645.425,571.3835,277.2173,168.0431
SM(d8:0/18:4)+C2H3O2,643.4093,569.3678,275.2016,168.0431
SM(d8:0/19:0)+C2H3O2,665.4876,591.4461,297.2799,168.0431
SM(d8:0/20:0)+C2H3O2,679.5032,605.4617,311.2955,168.0431
SM(d8:0/20:1)+C2H3O2,677.4876,603.4461,309.2799,168.0431
SM(d8:0/20:2)+C2H3O2,675.4719,601.4304,307.2642,168.0431
SM(d8:0/20:3)+C2H3O2,673.4563,599.4148,305.2486,168.0431
SM(d8:0/20:4)+C2H3O2,671.4406,597.3991,303.2329,168.0431
SM(d8:0/20:5)+C2H3O2,669.425,595.3835,301.2173,168.0431
SM(d8:0/21:0)+C2H3O2,693.5189,619.4774,325.3112,168.0431
SM(d8:0/22:0)+C2H3O2,707.5345,633.493,339.3268,168.0431
SM(d8:0/22:1)+C2H3O2,705.5189,631.4774,337.3112,168.0431
SM(d8:0/22:2)+C2H3O2,703.5032,629.4617,335.2955,168.0431
SM(d8:0/22:3)+C2H3O2,701.4876,627.4461,333.2799,168.0431
SM(d8:0/22:4)+C2H3O2,699.4719,625.4304,331.2642,168.0431
SM(d8:0/22:5)+C2H3O2,697.4563,623.4148,329.2486,168.0431
SM(d8:0/22:6)+C2H3O2,695.4406,621.3991,327.2329,168.0431
SM(d8:0/23:0)+C2H3O2,721.5502,647.5087,353.3425,168.0431
SM(d8:0/24:0)+C2H3O2,735.5658,661.5243,367.3581,168.0431
SM(d8:0/24:1)+C2H3O2,733.5502,659.5087,365.3425,168.0431
SM(d8:0/25:0)+C2H3O2,749.5815,675.54,381.3738,168.0431
SM(d8:0/26:0)+C2H3O2,763.5971,689.5556,395.3894,168.0431
SM(d8:0/8:0)+C2H3O2,511.3154,437.2739,143.1077,168.0431
